654;Universidade Estadual do Vale do Acaraú
655;Universidade Estadual Paulista
656;Universidade Estadual Sudoeste da Bahia
657;Universidade Federal da Bahia
658;Universidade Federal da Grande Dourados
659;Universidade Federal da Paraíba
660;Universidade Federal de Alagoas
661;Universidade Federal de Campina Grande
662;Universidade Federal de Goiás
663;Universidade Federal de Juiz de Fora
664;Universidade Federal de Lavras
665;Universidade Federal de Mato Grosso
666;Universidade Federal de Mato Grosso do Sul
667;Universidade Federal de Minas Gerais
668;Universidade Federal de Ouro Preto
669;Universidade Federal de Pelotas
670;Universidade Federal de Pernambuco
671;Universidade Federal de Rondônia
672;Universidade Federal de Roraima
673;Universidade Federal de Santa Catarina
674;Universidade Federal de Santa Maria
675;Universidade Federal de São Carlos
676;Universidade Federal de São Paulo
677;Universidade Federal de Sergipe
678;Universidade Federal de Uberlândia
679;Universidade Federal de Viçosa
680;Universidade Federal do ABC
681;Universidade Federal do Acre
682;Universidade Federal do Amapá
683;Universidade Federal do Ceará
684;Universidade Federal do Espírito Santo
685;Universidade Federal do Maranhão
686;Universidade Federal do Pará
687;Universidade Federal do Paraná
688;Universidade Federal do Piauí
689;Universidade Federal do Rio de Janeiro
690;Universidade Federal do Rio Grande do Norte
691;Universidade Federal do Rio Grande do Sul
692;Universidade Federal do Vale do São Francisco
693;Universidade Federal Fluminense
694;Universidade Federal Rural de Pernambuco
695;Universidade Federal Rural do Rio de Janeiro
696;Universidade Federal Rural do Semi-Árido
697;Universidade Gama Filho
698;Universidade Ibirapuera
699;Universidade Luterana do Brasil
700;Universidade Mackenzie
701;Universidade Metodista de Piracicaba
702;Universidade Metropolitana de Santos
703;Universidade para o Desenvolvimento do Alto Vale do Itajaí
704;Universidade Paulista
705;Universidade Potiguar
706;Universidade Regional de Blumenau
707;Universidade Regional do Cariri
708;Universidade Regional do Noroeste do Estado do Rio Grande do Sul
709;Universidade Regional Integrada do Alto Uruguai e das Missões
710;Universidade Salgado de Oliveira
711;Universidade Salvador
712;Universidade Santa Cecília dos Bandeirantes
713;Universidade Santa Úrsula
714;Universidade São Francisco
715;Universidade São Judas Tadeu
716;Universidade São Marcos
717;Universidade Tiradentes
718;Universidade Vale do Paraiba
719;Universidade Vale do Rio Doce
720;Universidade Vale do Rio dos Sinos
721;Universidade Veiga de Almeida
722;The College of The Bahamas
723;Royal University of Bhutan
724;ABM University College
725;Botho University
726;Botswana Accountancy College
727;Botswana College of Agriculture
728;Botswana International University of Science & Technology
729;Gaborone Universal College of Law
730;New Era College of Arts, Science & Technology
731;University of Botswana
732;Academy of Public Administration of Belarus
733;Academy of the Ministry of Internal Affairs of the Republic of Belarus
734;Belarusian-Russian University
735;Belarussian National Technical University
736;Belarussian State Academy of Music
737;Belarussian State Agrarian Technical University
738;Belarussian State Agricultural Academy
739;Belarussian State Economic University
740;Belarussian State Medical University
741;Belarussian State Pedagogical University M. Tanka
742;Belarussian State Polytechnical Academy
743;Belarussian State Technological University
744;Belarussian State University
745;Belarussian State University of Culture and Arts
746;Belarussian State University of Informatics and Radioelectronics
747;Belarussian State University of Transport
748;Brest State Technical University
749;Brest State University
750;European Humanities University
751;Gomel State Medical University
752;Gomel State Technical University Pavel Sukhoi
753;Gomel State University Francisk Scarnia
754;Grodno State Agrarian University
755;Grodno State Medical University
756;Grodno State University Yanka Kupaly
757;Institute for Command Engineers of The Ministry for Emergency Situations
758;International Sakharov Environmental University
759;Minsk Institute of Management
760;Minsk State Linguistic University
761;Mogilev State University A.A. Kuleshov
762;Mozyr State Pedagogical Institute
763;Polotsk State University
764;Vitebsk State Academy of Veterinary Medicine
765;Vitebsk State Medical University
766;Vitebsk State Technological University
767;Vitebsk State University
768;American University of the Caribbean, School of Medicine
769;Central America Health Sciences University (Belize Medical College)
770;Greenford International University
771;University of Belize
772;West Coast University (WCU) 
773;Acadia University
774;Algonquin College
775;Ashton College
776;Assumption University
777;Athabasca University
778;Augustana University College
779;Bishop's University
780;Bow Valley College
781;Brandon University
782;Brescia College
783;British Columbia Institute of Technology
784;British Columbia Open University
785;Brock University
786;Camosun College
787;Campion College
788;Canadian College of Business & Computers
789;Canadian Mennonite University
790;Capilano College
791;Carleton University
792;Centennial College
793;Collège Boréal
794;College of New Caledonia
795;College of the Rockies
